num,exchange,symbol,min_qty,min_cost,last_price,c_mult,effective_min_cost,first_timestamp,market_cap
160,binanceusdm,CKBUSDT,1,5,0.005795,1,5,1.67754E+12,252706149
161,binanceusdm,PERPUSDT,0.1,5,1.1982,1,5,1.67806E+12,79047450
162,binanceusdm,TRUUSDT,1,5,0.05325,1,5,1.67815E+12,58403107
163,binanceusdm,LQTYUSDT,0.1,5,1.4529,1,5,1.67841E+12,138034499
164,binanceusdm,USDCUSDT,1,5,0.99923,1,5,1.67858E+12,27803811641
165,binanceusdm,IDUSDT,1,5,0.6093,1,5,1.67953E+12,285151265
166,binanceusdm,ARBUSDT,0.1,5,2.0889,1,5,1.67953E+12,2663175451
167,binanceusdm,JOEUSDT,1,5,0.5296,1,5,1.68005E+12,193141652
168,binanceusdm,TLMUSDT,1,5,0.014234,1,5,1.68013E+12,54834003
169,binanceusdm,AMBUSDT,1,5,0.008323,1,5,1.68013E+12,25507922
170,binanceusdm,LEVERUSDT,1,5,0.0014756,1,5,1.68013E+12,42560462
171,binanceusdm,RDNTUSDT,1,5,0.3025,1,5,1.68065E+12,136427728
172,binanceusdm,HFTUSDT,1,5,0.3418,1,5,1.68074E+12,118550194
173,binanceusdm,XVSUSDT,0.1,5,11.055,1,5,1.68134E+12,173324732
174,binanceusdm,BLURUSDT,1,5,0.6414,1,5,1.68264E+12,838998311
175,binanceusdm,EDUUSDT,1,5,0.704,1,5,1.68281E+12,191754163
176,binanceusdm,IDEXUSDT,1,5,0.05459,1,5,1.68307E+12,44064901
177,binanceusdm,SUIUSDT,0.1,5,1.792,1,5,1.68307E+12,2090486305
178,binanceusdm,1000PEPEUSDT,1,5,0.0010891,1,5,1.68324E+12,458015822
179,binanceusdm,1000FLOKIUSDT,1,5,0.03235,1,5,1.68333E+12,309495429
180,binanceusdm,UMAUSDT,1,5,4.484,1,5,1.68368E+12,350909966
181,binanceusdm,RADUSDT,1,5,1.942,1,5,1.68368E+12,100225520
182,binanceusdm,KEYUSDT,1,5,0.005657,1,5,1.68489E+12,30026413
183,binanceusdm,COMBOUSDT,0.1,5,0.7286,1,5,1.68566E+12,51803603
184,binanceusdm,NMRUSDT,0.1,5,25.3,1,5,1.68739E+12,156425487
185,binanceusdm,MAVUSDT,1,5,0.6382,1,5,1.688E+12,159520895
186,binanceusdm,MDTUSDT,1,5,0.05588,1,5,1.68808E+12,37766460
187,binanceusdm,XVGUSDT,1,5,0.003461,1,5,1.68852E+12,57093311
188,binanceusdm,WLDUSDT,1,5,2.6781,1,5,1.69016E+12,337262103
189,binanceusdm,PENDLEUSDT,1,5,3.2092,1,5,1.6905E+12,763901339
190,binanceusdm,ARKMUSDT,1,5,0.6182,1,5,1.6905E+12,92811623
191,binanceusdm,AGLDUSDT,1,5,1.3012,1,5,1.69059E+12,100497507
192,binanceusdm,YGGUSDT,1,5,0.4688,1,5,1.69119E+12,143549021
193,binanceusdm,DODOXUSDT,1,5,0.169029,1,5,1.69145E+12,#N/A
194,binanceusdm,BNTUSDT,1,5,0.7948,1,5,1.69163E+12,106171272
195,binanceusdm,OXTUSDT,1,5,0.1032,1,5,1.69171E+12,101121491
196,binanceusdm,SEIUSDT,1,5,0.7494,1,5,1.69223E+12,1818166862
197,binanceusdm,CYBERUSDT,0.1,5,7.651,1,5,1.69258E+12,132646486
198,binanceusdm,HIFIUSDT,1,5,0.6326,1,5,1.69482E+12,72891788
199,binanceusdm,ARKUSDT,1,5,0.8902,1,5,1.69508E+12,160536418
200,binanceusdm,FRONTUSDT,1,5,0.463,1,5,1.69534E+12,41641777
201,binanceusdm,GLMRUSDT,1,5,0.3942,1,5,1.69569E+12,327733274
202,binanceusdm,BICOUSDT,1,5,0.3927,1,5,1.69586E+12,250833247
203,binanceusdm,STRAXUSDT,1,5,0.9428,1,5,1.69698E+12,149450116
204,binanceusdm,LOOMUSDT,1,5,0.0936,1,5,1.69698E+12,113933742
205,binanceusdm,BIGTIMEUSDT,1,5,0.4161,1,5,1.69707E+12,178301354
206,binanceusdm,BONDUSDT,0.1,5,3.478,1,5,1.69733E+12,27609986
207,binanceusdm,ORBSUSDT,1,5,0.03647,1,5,1.6975E+12,115466908
208,binanceusdm,STPTUSDT,1,5,0.05511,1,5,1.69759E+12,107014765
209,binanceusdm,WAXPUSDT,1,5,0.05852,1,5,1.69759E+12,199464359
210,binanceusdm,BSVUSDT,0.1,5,83.02,1,8.302,1.69776E+12,1629510971
211,binanceusdm,RIFUSDT,1,5,0.14612,1,5,1.69785E+12,146009694
212,binanceusdm,POLYXUSDT,1,5,0.1712,1,5,1.69819E+12,140489190
213,binanceusdm,GASUSDT,0.1,5,6.055,1,5,1.69819E+12,401937348
214,binanceusdm,POWRUSDT,1,5,0.3873,1,5,1.69836E+12,196871932
215,binanceusdm,SLPUSDT,1,5,0.003449,1,5,1.69871E+12,142519970
216,binanceusdm,TIAUSDT,1,5,19.781,1,19.781,1.69871E+12,3244886815
217,binanceusdm,SNTUSDT,1,5,0.03961,1,5,1.69888E+12,153805250
218,binanceusdm,CAKEUSDT,1,5,2.6004,1,5,1.69888E+12,605140145
219,binanceusdm,MEMEUSDT,1,5,0.024491,1,5,1.69897E+12,253856329
220,binanceusdm,TWTUSDT,1,5,1.1871,1,5,1.69897E+12,494355932
221,binanceusdm,TOKENUSDT,1,5,0.03109,1,5,1.69897E+12,31107439
222,binanceusdm,ORDIUSDT,0.1,5,71.612,1,7.1612,1.69932E+12,1503697871
223,binanceusdm,STEEMUSDT,1,5,0.2283,1,5,1.6994E+12,104429526
224,binanceusdm,BADGERUSDT,1,5,3.639,1,5,1.69949E+12,68076375
225,binanceusdm,ILVUSDT,0.1,5,94.17,1,9.417,1.69957E+12,354374741
226,binanceusdm,NTRNUSDT,1,5,1.2927,1,5,1.69992E+12,360789097
227,binanceusdm,MBLUSDT,1,5,0.004314,1,5,1.69992E+12,75443147
228,binanceusdm,KASUSDT,1,5,0.14418,1,5,1.70018E+12,3264679018
229,binanceusdm,BEAMXUSDT,1,5,0.029346,1,5,1.70018E+12,#N/A
230,binanceusdm,1000BONKUSDT,1,5,0.013308,1,5,1.70061E+12,842936808
231,binanceusdm,PYTHUSDT,1,5,0.5856,1,5,1.70061E+12,879097104
232,binanceusdm,SUPERUSDT,1,5,0.9466,1,5,1.70096E+12,461773129
233,binanceusdm,USTCUSDT,1,5,0.02655,1,5,1.70104E+12,238073837
234,binanceusdm,ONGUSDT,1,5,0.3243,1,5,1.70104E+12,119660011
235,binanceusdm,ETHWUSDT,1,5,2.889,1,5,1.70113E+12,311309480
236,binanceusdm,JTOUSDT,1,5,2.1041,1,5,1.70199E+12,246477765
237,binanceusdm,1000SATSUSDT,1,5,0.0004835,1,5,1.70234E+12,#N/A
238,binanceusdm,AUCTIONUSDT,0.01,5,28.45,1,5,1.7026E+12,185573388
239,binanceusdm,1000RATSUSDT,1,5,0.25977,1,5,1.7026E+12,#N/A
240,binanceusdm,ACEUSDT,0.01,5,9.4697,1,5,1.70286E+12,208007537
241,binanceusdm,MOVRUSDT,0.01,5,23.256,1,5,1.70355E+12,206718003
242,binanceusdm,NFPUSDT,0.1,5,0.6015,1,5,1.70364E+12,150693184
243,binanceusdm,AIUSDT,1,5,1.44252,1,5,1.70467E+12,187078970
244,binanceusdm,XAIUSDT,1,5,1.0708,1,5,1.70476E+12,296735283
245,binanceusdm,WIFUSDT,0.1,5,0.3927,1,5,1.70554E+12,393220002
246,binanceusdm,MANTAUSDT,0.1,5,2.9034,1,5,1.70554E+12,728967916
247,binanceusdm,ONDOUSDT,0.1,5,0.2412,1,5,1.70571E+12,333200891
248,binanceusdm,LSKUSDT,1,5,1.3602,1,5,1.70614E+12,175548786
249,binanceusdm,ALTUSDT,1,5,0.34785,1,5,1.70614E+12,382684925
250,binanceusdm,JUPUSDT,1,5,0.509,1,5,1.70666E+12,687150294
251,binanceusdm,ZETAUSDT,1,5,2.0794,1,5,1.70683E+12,491146143
252,binanceusdm,RONINUSDT,0.1,5,2.783,1,5,1.70718E+12,#N/A
253,binanceusdm,DYMUSDT,0.1,5,7.143,1,5,1.70726E+12,1043196463
254,bybit,10000LADYSUSDT,100,0,0.0005919,1,0.05919,1.68376E+12,#N/A
255,bybit,10000NFTUSDT,10,0,0.004424,1,0.04424,1.64298E+12,#N/A
256,bybit,10000SATSUSDT,100,0,0.004836,1,0.4836,1.70009E+12,#N/A
257,bybit,10000STARLUSDT,10,0,0.03008,1,0.3008,1.69776E+12,#N/A
258,bybit,10000WENUSDT,1,0,0.7652,1,0.7652,1.70666E+12,#N/A
259,bybit,1000BONKUSDT,100,0,0.013352,1,1.3352,1.67296E+12,842936808
260,bybit,1000BTTUSDT,100,0,0.0009995,1,0.09995,1.64575E+12,966273066
261,bybit,1000FLOKIUSDT,1,0,0.0324,1,0.0324,1.6772E+12,309495429
262,bybit,1000LUNCUSDT,1,0,0.11757,1,0.11757,1.66268E+12,678495058
263,bybit,1000PEPEUSDT,100,0,0.0010914,1,0.10914,1.68307E+12,458015822
264,bybit,1000RATSUSDT,10,0,0.26068,1,2.6068,1.70061E+12,#N/A
265,bybit,1000XECUSDT,10,0,0.0338,1,0.338,1.64981E+12,667619786
266,bybit,1CATUSDT,10,0,0.00474,1,0.0474,1.70364E+12,#N/A
267,bybit,1INCHUSDT,0.1,0,0.4388,1,0.04388,1.63875E+12,499782771
268,bybit,AAVEUSDT,0.01,0,90.55,1,0.9055,1.62086E+12,1331281731
269,bybit,ACEUSDT,0.1,0,9.491,1,0.9491,1.70286E+12,208007537
270,bybit,ACHUSDT,10,0,0.019335,1,0.19335,1.64938E+12,140925438
271,bybit,ADAUSDT,1,0,0.5618,1,0.5618,1.61603E+12,19906221555
272,bybit,AERGOUSDT,1,0,0.1325,1,0.1325,1.70009E+12,59627725
273,bybit,AGIUSDT,10,0,0.05788,1,0.5788,1.70018E+12,31718070
274,bybit,AGIXUSDT,1,0,0.3116,1,0.3116,1.6759E+12,390485111
275,bybit,AGLDUSDT,0.1,0,1.302,1,0.1302,1.65059E+12,100497507
276,bybit,AIUSDT,0.1,0,1.4448,1,0.14448,1.70545E+12,187078970
277,bybit,AKROUSDT,100,0,0.005166,1,0.5166,1.65344E+12,22831252
278,bybit,ALGOUSDT,0.1,0,0.1844,1,0.01844,1.63236E+12,1481357941
279,bybit,ALICEUSDT,0.1,0,1.224,1,0.1224,1.63512E+12,83017708
280,bybit,ALPACAUSDT,1,0,0.18037,1,0.18037,1.69093E+12,27041357
281,bybit,ALPHAUSDT,1,0,0.10199,1,0.10199,1.6486E+12,86294797
282,bybit,ALTUSDT,1,0,0.3496,1,0.3496,1.70614E+12,382684925
283,bybit,AMBUSDT,10,0,0.008343,1,0.08343,1.68592E+12,25507922
284,bybit,ANKRUSDT,1,0,0.0253,1,0.0253,1.63771E+12,252571485
285,bybit,ANTUSDT,0.1,0,6.777,1,0.6777,1.6397E+12,292278953
286,bybit,APEUSDT,0.1,0,1.4902,1,0.14902,1.64756E+12,548112510
287,bybit,API3USDT,0.1,0,3.704,1,0.3704,1.64601E+12,320286932
288,bybit,APTUSDT,0.01,0,9.2225,1,0.092225,1.66614E+12,3356905370
289,bybit,ARBUSDT,0.1,0,2.0908,1,0.20908,1.67953E+12,2663175451
290,bybit,ARKMUSDT,1,0,0.6189,1,0.6189,1.6905E+12,92811623
291,bybit,ARKUSDT,1,0,0.89198,1,0.89198,1.69085E+12,160536418
292,bybit,ARPAUSDT,10,0,0.05799,1,0.5799,1.65041E+12,72088762
293,bybit,ARUSDT,0.1,0,9.109,1,0.9109,1.63996E+12,595101738
294,bybit,ASTRUSDT,1,0,0.19261,1,0.19261,1.64903E+12,1071275695
295,bybit,ATAUSDT,10,0,0.09155,1,0.9155,1.69145E+12,42257333
296,bybit,ATOMUSDT,0.1,0,9.941,1,0.9941,1.63391E+12,3836231123
297,bybit,AUCTIONUSDT,0.1,0,28.611,1,2.8611,1.6905E+12,185573388
298,bybit,AUDIOUSDT,0.1,0,0.1995,1,0.01995,1.63788E+12,238188986
299,bybit,AVAXUSDT,0.1,0,41.47,1,4.147,1.63166E+12,15229318989
300,bybit,AXLUSDT,1,0,1.0793,1,1.0793,1.70191E+12,611087403
301,bybit,AXSUSDT,0.1,0,7.8,1,0.78,1.63037E+12,1069799380
302,bybit,BADGERUSDT,0.1,0,3.647,1,0.3647,1.69214E+12,68076375
303,bybit,BAKEUSDT,0.1,0,0.3832,1,0.03832,1.64877E+12,110840783
304,bybit,BALUSDT,0.01,0,3.916,1,0.03916,1.64938E+12,214919468
305,bybit,BANDUSDT,0.1,0,1.958,1,0.1958,1.64557E+12,271536716
306,bybit,BATUSDT,0.1,0,0.2353,1,0.02353,1.63771E+12,351036752
307,bybit,BCHUSDT,0.01,0,280.6,1,2.806,1.6079E+12,5508141187
308,bybit,BEAMUSDT,100,0,0.02934,1,2.934,1.69992E+12,1509652413
309,bybit,BELUSDT,1,0,0.6326,1,0.6326,1.65542E+12,41105613
310,bybit,BICOUSDT,0.1,0,0.3929,1,0.03929,1.63849E+12,250833247
311,bybit,BIGTIMEUSDT,1,0,0.4166,1,0.4166,1.69707E+12,178301354
